date,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyEbitda,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyResearchAndDevelopment,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory
2017-03-31,237084428.0,,,138820000,,,,,,,,-77688000,-77688000,424140000,,,,,1816000,,-65609000,,55223000,,,,363008000,,,,,,83597000,-0.508038,-67425000,-67425000,,,,-120448000,61132000,237084428.0,,,,11883000,-0.508038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,237084428.0,,,190320000,,,,,,,,-52662000,-52662000,582896000,,,,,2323000,,-48093000,,63390000,,,,445238000,,,,,,126930000,-1.049816,-50416000,-50416000,,,,-248895000,137658000,237084428.0,,,,4432000,-1.049816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,237084428.0,,,206611000,,,,,,,,-31895000,-31895000,727700000,,,,,2324000,,-12261000,,74496000,,,,552984000,,,,,,132115000,-0.34993,-14585000,-14585000,,,,-82963000,174716000,237084428.0,,,,19280000,-0.34993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,2075531000.0,426292000.0,237729000,762882000.0,572848000.0,1283703000.0,596507000.0,69312000.0,34122000.0,154000.0,-62027000,-62027000,733713000,-61170000.0,2153100000.0,1397994000.0,247588000.0,2418000,-2222774000.0,-48906000,186418000.0,86984000,520821000.0,50967000.0,22597000.0,558011000,392942000.0,1320425000.0,3473525000.0,,,150745000,,-51324000,-51324000,0.0,,,139312000,175702000,,20796000.0,9981000.0,635952000.0,12325000,,1397994000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,69336926.0,-2056920000.0,685523000.0,287357000,1051310000.0,1014219000.0,1277780000.0,867414000.0,,,,-74276000,-74276000,868008000,,2463337000.0,2153964000.0,,3174000,,-54629000,199781000.0,105906000,226470000.0,50967000.0,125080000.0,654927000,455751000.0,1710994000.0,4174331000.0,,4078237000.0,181451000,-1.73,-56853000,-57803000,4078237000.0,,,-120050000,213081000,69336926.0,30522000.0,,744201000.0,18805000,-1.73,6232201000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,273886172.0,4961409000.0,868144000.0,357602000,3624784000.0,926275000.0,3970568000.0,946371000.0,,,,-106918000,-106918000,1026542000,,5070357000.0,2149215000.0,,2405000,,-67901000,248336000.0,131898000,345784000.0,50967000.0,98984000.0,775858000,355945000.0,2039967000.0,7110324000.0,,,225704000,-0.26,-69956000,-70306000,0.0,,,-71364000,250684000,273886172.0,53202000.0,,819318000.0,19184000,-0.26,2149215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,278836754.0,4910420000.0,1089455000.0,453649000,2408106000.0,836535000.0,3020053000.0,1049537000.0,,,,-259020000,-259020000,1078836000,,4682646000.0,2588983000.0,,11363000,,-234725000,320718000.0,146201000,611947000.0,468807000.0,445254000.0,884207000,394001000.0,2955462000.0,7638108000.0,,,307448000,-0.88,-244939000,-246088000,0.0,,,-244939000,194629000,278836754.0,73207000.0,,1003275000.0,2611000,-0.88,2588983000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,307015929.0,6950796000.0,1419435000.0,485803000,3540031000.0,985143000.0,5234754000.0,1316955000.0,28480000.0,333743000.0,197000.0,-288759000,-288759000,1155545000,-157110000.0,6549997000.0,3298834000.0,552008000.0,9046000,-2842690000.0,-181778000,394898000.0,153483000,1694723000.0,941488000.0,118613000.0,958501000,324392000.0,3940039000.0,10490036000.0,,,332320000,-0.59,-179972000,-190824000,0.0,,,-179972000,197044000,307015929.0,204231000.0,55032000.0,979987000.0,80634000,-0.59,3298834000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,311841813.0,6703813000.0,1363524000.0,496049000,2714625000.0,1288893000.0,4543363000.0,1424617000.0,,,,-306733000,-306733000,1373507000,,6306912000.0,3517190000.0,,8188000,,-187450000,362931000.0,186075000,1828738000.0,941488000.0,484377000.0,1184191000,541558000.0,4367101000.0,10674013000.0,,218083000.0,309974000,-0.6,-185960000,-195638000,218083000.0,,100000000.0,-185960000,189316000,311841813.0,471098000.0,,1228060000.0,94876000,-0.6,3735273000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,325661667.0,8226875000.0,1559932000.0,597133000,4659202000.0,1081758000.0,8562983000.0,1718444000.0,,,,-286707000,-345394000,1537683000,,10674911000.0,3811263000.0,,12671000,,-302345000,456584000.0,215860000,3903781000.0,941488000.0,625628000.0,1285944000,462613000.0,5124729000.0,15799640000.0,3358771000.0,170005000.0,381273000,-0.96,-312815000,-315016000,3528776000.0,15638000.0,100000000.0,-312815000,251739000,325661667.0,227627000.0,,1600759000.0,8716000,-0.96,7340039000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-30,327231439.0,7544948000.0,1525031000.0,774384000,4179407000.0,1347684000.0,8394224000.0,1900290000.0,,,,-381576000,-423105000,1858963000,,10740016000.0,4107431000.0,,8082000,,-397623000,472619000.0,247308000,4214817000.0,1012026000.0,449697000.0,1507684000,716038000.0,5111000000.0,15851016000.0,3459124000.0,203179000.0,527076000,-1.24,-407357000,-405705000,3662303000.0,16047000.0,,-407357000,351279000,327231439.0,275630000.0,,1421358000.0,-10489000,-1.24,7769734000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
