date,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyBasicAverageShares,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyDilutedAverageShares,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyEbitda,quarterlyDilutedEPS,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInInventory,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyOperatingExpense,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,,,,,0.151187,,,,,77091453.0,,,,,,,,,,,,,,,,,,77091453.0,,,228600000,0.144517,,,,,,,,,228600000,,,228600000,,,,,,,,,,,,,,13100000,,,,,,,,,,,,
1984-06-30,,,,,,,,,,,,0.035573,,,,,77091453.0,,,,,,,,,,,,,,,,,,77091453.0,,,152900000,0.035573,,,,,,,,,152900000,,,152900000,,,,,,,,,,,,,,3800000,,,,,,,,,,,,
1984-09-30,,,,,,,,,,,,-0.008893,,,,,77685156.0,,,,,,,,,,,,,,,,,,77685156.0,,,125400000,-0.008893,,,,,,,,,125400000,,,125400000,,,,,,,,,,,,,,400000,,,,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163500000,,,,,,,,,,163500000,,,163500000,,,,,,,,,,,,,,5600000,,,,,,,,,,,,
1985-03-31,,,,,,,,,,,,0.16675,,,,,78386808.0,,,,,,,,,,,,,,,,,,78386808.0,,,203400000,0.16008,,,,,,,,,203400000,,,203400000,,,,,,,,,,,,,,14600000,,,,,,,,,,,,
1985-06-30,,,,,,,,,,,,0.004447,,,,,79034484.0,,,,,,,,,,,,,,,,,,79034484.0,,,126100000,0.004447,,,,,,,,,126100000,,,126100000,,,,,,,,,,,,,,1400000,,,,,,,,,,,,
1985-09-30,,,,,,,,,,,,-0.042243,,,,,80176911.0,,,,,,,,,,,,,,,,,,80176911.0,,,113700000,-0.042243,,,,,,,,,113700000,,,113700000,,,,,,,,,,,,,,-2300000,,,,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162400000,,,,,,,,,,162400000,,,162400000,,,,,,,,,,,,,,-42100000,,,,,,,,,,,,
1986-03-31,,,,,,,,,,,,0.171197,,,,,81229386.0,,,,,,,,,,,,,,,,,,81229386.0,,,192000000,0.164527,,,,,,,,,192000000,,,192000000,,,,,,,,,,,,,,15400000,,,,,,,,,,,,
1986-06-30,,,,,,,,,,,,0.011117,,,,,82893552.0,,,,,,,,,,,,,,,,,,82893552.0,,,103900000,0.011117,,,,,,,,,103900000,,,103900000,,,,,,,,,,,,,,700000,,,,,,,,,,,,
1986-09-30,,,,,,,,,,,,0.015563,,,,,82830585.0,,,,,,,,,,,,,,,,,,82830585.0,,,86900000,0.015563,,,,,,,,,86900000,,,86900000,,,,,,,,,,,,,,1800000,,,,,,,,,,,,
1986-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76000000,,,,,,,,,,76000000,,,76000000,,,,,,,,,,,,,,10200000,,,,,,,,,,,,
1987-03-31,,,,,,,,,,,,0.17342,,,,,84062970.0,,,,,,,,,,,,,,,,,,84062970.0,,,143500000,0.17342,,,,,,,,,143500000,,,143500000,,,,,,,,,,,,,,15400000,,,,,,,,,,,,
1987-06-30,,,,,,,,,,,,0.044467,,,,,84062970.0,,,,,,,,,,,,,,,,,,84062970.0,,,83700000,0.044467,,,,,,,,,83700000,,,83700000,,,,,,,,,,,,,,2200000,,,,,,,,,,,,
1987-09-30,,,,,,,,,,,,-0.022233,,,,,86743629.0,,,,,,,,,,,,,,,,,,86743629.0,,,74600000,-0.022233,,,,,,,,,74600000,,,74600000,,,,,,,,,,,,,,-1100000,,,,,,,,,,,,
1987-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117600000,,,,,,,,,,117600000,,,117600000,,,,,,,,,,,,,,11300000,,,,,,,,,,,,
1988-03-31,,,,,,,,,,,,0.222333,,,,,87031485.0,,,,,,,,,,,,,,,,,,87031485.0,,,144200000,0.222333,,,,,,,,,144200000,,,144200000,,,,,,,,,,,,,,20800000,,,,,,,,,,,,
1988-06-30,,,,,,,,,,,,0.04002,,,,,87031485.0,,,,,,,,,,,,,,,,,,87031485.0,,,87300000,0.04002,,,,,,,,,87300000,,,87300000,,,,,,,,,,,,,,4200000,,,,,,,,,,,,
1988-09-30,,,,,,,,,,,,-0.048913,,,,,87913044.0,,,,,,,,,,,,,,,,,,87913044.0,,,74400000,-0.048913,,,,,,,,,74400000,,,74400000,,,,,,,,,,,,,,-3400000,,,,,,,,,,,,
1988-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127500000,,,,,,,,,,127500000,,,127500000,,,,,,,,,,,,,,11700000,,,,,,,,,,,,
1989-03-31,,,,,,,,,,,,0.20677,,,,,88182909.0,,,,,,,,,,,,,,,,,,88182909.0,,,142500000,0.20677,,,,,,,,,142500000,,,142500000,,,,,,,,,,,,,,19600000,,,,,,,,,,,,
1989-06-30,,,,,,,,,,,,0.042243,,,,,85220548.0,,,,,,,,,,,,,,,,,,85220548.0,,,57100000,0.042243,,3600000.0,,,,,,,57100000,,,57100000,,,,,,,,,,,,,,0,,4400000.0,,,,,,,,,,
1989-09-30,,,,,,,,,,,,-0.031127,,,,,86742343.0,,,,,,,,,,,,,,,,,,86742343.0,,,46600000,-0.031127,,-2700000.0,,,,,,,46600000,,,46600000,,,,,,,,,,,,,,-1900000,,-1900000.0,,,,,,,,,,
1989-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106000000,,,13500000.0,,,,,,,106000000,,,106000000,,,,,,,,,,,,,,14300000,,14300000.0,,,,,,,,,,
1990-03-31,,,,,,,,,,,,0.2001,,,,,91954023.0,,,,,,,,,,,,,,,,,,91954023.0,,,122300000,0.2001,,18400000.0,,,,,,,122300000,,,122300000,,,,,,,,,,,,,,19200000,,19200000.0,,,,,,,,,,
1990-06-30,,,,,,,,,,,,-0.017787,,,,,84332834.0,,,,,,,,,,,,,,,,,,84332834.0,,,63300000,-0.017787,,-1500000.0,,,,,,,63300000,,,63300000,,,,,,,,,,,,,,-800000,,-800000.0,,,,,,,,,,
1990-09-30,,,,,,,,,,,,-0.091157,,,,,91052035.0,,,,,,,,,,,,,,,,,,91052035.0,,,51100000,-0.091157,,-8300000.0,,,,,,,51100000,,,51100000,,,,,,,,,,,,,,-7600000,,-7600000.0,,,,,,,,,,
1990-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196000000,,,7900000.0,,,,,,,196000000,,,196000000,,,,,,,,,,,,,,8700000,,8700000.0,,,,,,,,,,
1991-03-31,,,,,,,,,,,,0.28014,,,,,95666452.0,,,,,,,,,,,,,,,,,,95666452.0,,,264300000,0.28014,,26800000.0,,,,,,,264300000,,,264300000,,,,,,,,,,,,,,27500000,,27500000.0,,,,,,,,,,
1991-06-30,,,,,,,,,,,,-0.055583,,,,,98950525.0,,,,,,,,,,,,,,,,,,98950525.0,,,124000000,-0.055583,,-5500000.0,,,,,,,124000000,,,124000000,,,,,,,,,,,,,,-5100000,,-5100000.0,,,,,,,,,,
1991-09-30,,,,,,,,,,,,-0.068923,,,,,118972772.0,,,,,,,,,,,,,,,,,,118972772.0,,,109300000,-0.068923,,-8200000.0,,,,,,,109300000,,,109300000,,,,,,,,,,,,,,-7800000,,-7800000.0,,,,,,,,,,
1991-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211600000,,,11300000.0,,,,,,,211600000,,,211600000,,,,,,,,,,,,,,11700000,,11700000.0,,,,,,,,,,
1992-03-31,,,,,,,,,,,,0.22011,,,,,119940030.0,,,,,,,,,,,,,,,,,,119940030.0,,,242800000,0.22011,,26400000.0,,,,,,,242800000,,,242800000,,,,,,,,,,,,,,25700000,,26800000.0,,,,,,,,,,
1992-06-30,,,,,,,,,,,,-0.011117,,,,,119940030.0,,,,,,,,,,,,,,,,,,119940030.0,,,133300000,-0.011117,,-2100000.0,,,,,,,133300000,,,133300000,,,,,,,,,,,,,,-1400000,,-1400000.0,,,,,,,,,,
1992-09-30,,,,,,,,,,,,-0.044467,,,,,130434783.0,,,,,,,,,,,,,,,,,,130434783.0,,,110700000,-0.044467,,-5800000.0,,,,,,,110700000,,,110700000,,,,,,,,,,,,,,-6200000,,-5400000.0,,,,,,,,,,
1992-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221300000,,,15100000.0,,,,,,,221300000,,,221300000,,,,,,,,,,,,,,15600000,,15900000.0,,,,,,,,,,
1993-03-31,,,,,,,,,,,,0.191207,,,,,135978522.0,,,,,,,,,,,,,,,,,,135978522.0,,,267900000,0.191207,,26000000.0,,,,,,,267900000,,,267900000,,,,,,,,,,,,,,26700000,,26700000.0,,,,,,,,,,
1993-06-30,,,,,,,,,,,,-0.017787,,,,,135978522.0,,,,,,,,,,,,,,,,,,135978522.0,,,130700000,-0.017787,,-3200000.0,,,,,,,130700000,,,130700000,,,,,,,,,,,,,,-2500000,,-2500000.0,,,,,,,,,,
1993-12-31,,,,,,,,,,,,0.16008,,,,,145552224.0,,,,,,,,,,,,,,,,,,145552224.0,,,210500000,0.16008,,23300000.0,,,,,,,210500000,,,210500000,,,,,,,,,,,,,,15700000,,23300000.0,,,,,,,,,,
1994-03-31,12200000.0,608700000.0,29800000.0,25600000.0,-260300000.0,,130500000.0,87600000.0,43600000.0,,11300000.0,0.217887,,57100000.0,249700000.0,60300000.0,144570572.0,43600000.0,,,,951900000.0,1236600000.0,,,,,,,,64200000.0,386200000.0,,87600000.0,144570572.0,,,67000000,0.217887,,31500000.0,,,81400000.0,,769100000.0,,56200000,,,304500000,230100000.0,869000000.0,284700000.0,,,30500000.0,383600000.0,,,122300000.0,121600000.0,159100000.0,145400000.0,31500000,89200000.0,31500000.0,,,467500000.0,,,,,,,
1994-06-30,7100000.0,610300000.0,47100000.0,-600000.0,-267000000.0,2400000.0,126200000.0,96000000.0,38500000.0,0.0,11800000.0,-0.042243,,-6600000.0,,57800000.0,142034246.0,38500000.0,-26700000.0,-10700000.0,44900000.0,950900000.0,1193100000.0,,8400000.0,34200000.0,,,,,60300000.0,388700000.0,87600000.0,96000000.0,142034246.0,96000000.0,,8100000,-0.042243,,-6000000.0,-9800000.0,-10800000.0,64300000.0,0.0,740200000.0,10000000.0,-1900000,39800000.0,-1700000.0,130800000,216700000.0,877300000.0,242200000.0,-600000.0,,22900000.0,370400000.0,,-17300000.0,117900000.0,70800000.0,60700000.0,70100000.0,-6000000,72000000.0,-6000000.0,,,452900000.0,,,,,,,
1994-09-30,12800000.0,620600000.0,60600000.0,-4300000.0,-270800000.0,22400000.0,130100000.0,77400000.0,49000000.0,0.0,10300000.0,,,-7800000.0,,61000000.0,,49000000.0,13100000.0,-17300000.0,-14500000.0,955700000.0,1183200000.0,,-18600000.0,-31800000.0,,,,,60600000.0,411200000.0,96000000.0,77400000.0,,77400000.0,,300000,,,-3500000.0,-17200000.0,-11100000.0,49400000.0,0.0,722700000.0,10600000.0,-10300000,-27800000.0,5200000.0,116400000,211800000.0,891400000.0,227500000.0,-500000.0,,17600000.0,363500000.0,499300000.0,-13600000.0,76800000.0,65200000.0,55100000.0,61300000.0,-3500000,71600000.0,-3500000.0,,,460500000.0,,,,,,,
1994-12-31,10900000.0,626000000.0,60600000.0,9000000.0,-277000000.0,2700000.0,125200000.0,70000000.0,90400000.0,0.0,11500000.0,0.04669,,19100000.0,,59900000.0,149925037.0,90400000.0,6600000.0,-13900000.0,1600000.0,959100000.0,1221400000.0,,-7400000.0,-12300000.0,,,,,69900000.0,414000000.0,77400000.0,70000000.0,149925037.0,70000000.0,,30600000,0.04669,,7000000.0,-15600000.0,-11200000.0,45100000.0,,762400000.0,10900000.0,19700000,-22000000.0,-100000.0,194900000,266700000.0,903000000.0,262300000.0,-1500000.0,,23700000.0,337000000.0,,100000.0,106400000.0,90500000.0,96800000.0,98100000.0,10100000,78400000.0,7000000.0,,,459000000.0,,,,,,,
1995-03-31,13000000.0,630000000.0,34400000.0,19100000.0,-283600000.0,2100000.0,126400000.0,102600000.0,85500000.0,0.0,11600000.0,0.184537,,46100000.0,242000000.0,69000000.0,146312386.0,85500000.0,-13900000.0,-12800000.0,60000000.0,971900000.0,1251700000.0,,32600000.0,47200000.0,,,,,53700000.0,416000000.0,70000000.0,102600000.0,146312386.0,102600000.0,,55700000,0.184537,,27000000.0,-13500000.0,-11200000.0,60800000.0,,775000000.0,11000000.0,44700000,24200000.0,-4200000.0,258800000,269200000.0,913600000.0,279800000.0,-100000.0,,34500000.0,337100000.0,,24500000.0,130000000.0,96200000.0,131100000.0,127700000.0,27000000,83000000.0,27000000.0,,,476700000.0,,,,,,,
1995-06-30,-400000.0,949200000.0,75000000.0,4100000.0,-308000000.0,352200000.0,173700000.0,110500000.0,49700000.0,-17100000.0,18500000.0,-0.222333,,-15400000.0,,57700000.0,147076462.0,49700000.0,20800000.0,-17000000.0,33500000.0,1796300000.0,2148400000.0,,7900000.0,16500000.0,,,,,50200000.0,418500000.0,102600000.0,110500000.0,147076462.0,110500000.0,,13100000,-0.222333,,-32700000.0,-46400000.0,-11200000.0,16600000.0,,1375500000.0,18200000.0,-5100000,24600000.0,11700000.0,205600000,289200000.0,1257200000.0,352100000.0,3500000.0,,77800000.0,819900000.0,1086300000.0,-11700000.0,189300000.0,83700000.0,100200000.0,105400000.0,-19500000,110500000.0,-32700000.0,,,435000000.0,,,,,,,
1995-09-30,11600000.0,954700000.0,102200000.0,-10100000.0,-320000000.0,2800000.0,180700000.0,121700000.0,100900000.0,-93400000.0,20500000.0,,,-20700000.0,,60000000.0,,100900000.0,35300000.0,-25100000.0,-18300000.0,1796700000.0,2164000000.0,,11200000.0,-43400000.0,,,,,69100000.0,421300000.0,110500000.0,121700000.0,,121700000.0,20000000.0,-2100000,,,-10600000.0,-5800000.0,-11600000.0,-5500000.0,83000000.0,1429400000.0,20800000.0,-22900000,-16900000.0,-2300000.0,209800000,329300000.0,1274700000.0,367300000.0,700000.0,,49600000.0,815200000.0,1088900000.0,-27200000.0,114800000.0,85900000.0,104100000.0,105700000.0,-10600000,128600000.0,-10600000.0,,,415700000.0,,,,,,,
1995-12-31,22500000.0,964900000.0,85200000.0,16600000.0,-333900000.0,2700000.0,176100000.0,49600000.0,75700000.0,0.0,20600000.0,0.122283,,34800000.0,,60000000.0,148834674.0,75700000.0,-29800000.0,-17500000.0,-18900000.0,1803600000.0,2182200000.0,,-72100000.0,-36400000.0,1100000.0,,,,95700000.0,424000000.0,121700000.0,49600000.0,148834674.0,49600000.0,,61600000,0.122283,,18200000.0,-23400000.0,-21200000.0,1100000.0,-1700000.0,1442400000.0,21400000.0,40200000,-72200000.0,4500000.0,404900000,318600000.0,1298800000.0,378600000.0,-500000.0,,40900000.0,836200000.0,1123800000.0,17500000.0,147200000.0,178700000.0,219400000.0,185500000.0,18200000,145300000.0,18200000.0,,,423300000.0,,,,,,,
1996-03-31,2500000.0,963300000.0,70000000.0,32100000.0,-343000000.0,3900000.0,139400000.0,72100000.0,56800000.0,0.0,20600000.0,0.251237,,69700000.0,694500000.0,61200000.0,149659683.0,56800000.0,-43100000.0,-14100000.0,92700000.0,1762600000.0,2197400000.0,,22500000.0,78600000.0,,,,,89000000.0,426800000.0,49600000.0,72100000.0,149659683.0,72100000.0,,130800000,0.251237,,37600000.0,-27100000.0,-21300000.0,27100000.0,-2100000.0,1418200000.0,21600000.0,109200000,16500000.0,-3800000.0,573500000,337600000.0,1306300000.0,434800000.0,200000.0,,60600000.0,830900000.0,,15200000.0,191800000.0,214200000.0,300700000.0,272800000.0,37600000,163600000.0,37600000.0,,,451000000.0,,,,,,,
1996-06-30,4000000.0,959900000.0,83200000.0,-3700000.0,-356100000.0,1600000.0,140600000.0,40700000.0,41300000.0,0.0,20500000.0,-0.024457,,-7400000.0,,63500000.0,151287992.0,41300000.0,-37500000.0,-11900000.0,39600000.0,1755000000.0,2091000000.0,,-31400000.0,27700000.0,,,,,65700000.0,426900000.0,72100000.0,40700000.0,151287992.0,40700000.0,-22200000.0,21200000,-0.024457,,-3700000.0,-33500000.0,-21200000.0,11700000.0,-1200000.0,1345600000.0,21400000.0,-200000,25600000.0,2700000.0,276400000,262100000.0,1316000000.0,336000000.0,0.0,,78400000.0,829200000.0,1083500000.0,-13200000.0,155100000.0,126400000.0,134300000.0,142100000.0,-3700000,142300000.0,-3700000.0,,,436100000.0,,,,,,,
1996-09-30,2500000.0,974600000.0,113200000.0,-11400000.0,-368200000.0,3100000.0,159400000.0,74000000.0,96600000.0,0.0,20600000.0,,,-24000000.0,,53300000.0,,96600000.0,50400000.0,-19200000.0,-2200000.0,1763300000.0,2144900000.0,,33300000.0,-21400000.0,,,,,94700000.0,427100000.0,40700000.0,74000000.0,,74000000.0,22100000.0,600000,,,-12600000.0,-14900000.0,-21400000.0,-12800000.0,-2100000.0,1447700000.0,21600000.0,-21000000,3000000.0,8600000.0,284000000,369200000.0,1342800000.0,381600000.0,4200000.0,,72500000.0,845200000.0,1067700000.0,-29700000.0,133100000.0,113300000.0,155000000.0,129000000.0,-12600000,150000000.0,-12600000.0,,,412800000.0,,,,,,,
1996-12-31,3000000.0,976400000.0,122200000.0,23200000.0,-382400000.0,1300000.0,150800000.0,81500000.0,164300000.0,0.0,21800000.0,0.18676,,51100000.0,,51200000.0,149389591.0,164300000.0,49400000.0,-17100000.0,-15800000.0,1757700000.0,2275600000.0,,7500000.0,-32900000.0,,,,,136900000.0,427100000.0,74000000.0,81500000.0,149389591.0,81500000.0,-9300000.0,108300000,0.18676,,27900000.0,-26100000.0,-21500000.0,3200000.0,-2500000.0,1556700000.0,21700000.0,86600000,-83400000.0,1800000.0,529600000,472900000.0,1358800000.0,517900000.0,500000.0,,74900000.0,849100000.0,1083800000.0,-8800000.0,171700000.0,216900000.0,274000000.0,255600000.0,27900000,169000000.0,27900000.0,,,427500000.0,,,,,,,
1997-03-31,8600000.0,977400000.0,56700000.0,29600000.0,-395100000.0,4900000.0,152400000.0,85900000.0,122300000.0,0.0,22100000.0,0.24012,,65400000.0,682600000.0,48500000.0,149092121.0,122300000.0,-77000000.0,-14700000.0,125800000.0,1751800000.0,2232000000.0,,4400000.0,111100000.0,,,,,81300000.0,427500000.0,81500000.0,85900000.0,149092121.0,85900000.0,-35300000.0,120900000,0.24012,,35800000.0,-44400000.0,-21400000.0,26700000.0,-5300000.0,1475600000.0,22000000.0,98900000,52400000.0,-4700000.0,576400000,400900000.0,1372500000.0,480200000.0,0.0,,114400000.0,835500000.0,,65600000.0,197300000.0,205000000.0,310300000.0,266100000.0,35800000,167200000.0,35800000.0,,,451700000.0,,,,,,,
1997-06-30,5500000.0,978700000.0,79700000.0,-400000.0,-401700000.0,1000000.0,153700000.0,93900000.0,72900000.0,0.0,21000000.0,-0.008893,,-1600000.0,,47300000.0,134932534.0,72900000.0,-58100000.0,-15500000.0,55700000.0,1747800000.0,2134700000.0,,8000000.0,40200000.0,,,,,71300000.0,427900000.0,85900000.0,93900000.0,134932534.0,93900000.0,24500000.0,29200000,-0.008893,,-1200000.0,10400000.0,-21500000.0,13600000.0,-5400000.0,1411400000.0,21600000.0,7600000,39200000.0,900000.0,284100000,316300000.0,1380400000.0,386900000.0,2600000.0,,80500000.0,852600000.0,1095100000.0,-22900000.0,172100000.0,126100000.0,133600000.0,150500000.0,-1200000,142900000.0,-1200000.0,,,434700000.0,,,,,,,
1997-09-30,5500000.0,987200000.0,117300000.0,-8800000.0,-410100000.0,4500000.0,162900000.0,64000000.0,122200000.0,0.0,21000000.0,,,-19200000.0,,38300000.0,,122200000.0,14200000.0,-21500000.0,6300000.0,1747800000.0,2151700000.0,,-29900000.0,-15200000.0,,,,,103200000.0,425900000.0,93900000.0,64000000.0,,64000000.0,-22200000.0,4800000,,,-10400000.0,-50400000.0,-21600000.0,-9200000.0,-6000000.0,1476900000.0,20800000.0,-16000000,5400000.0,-200000.0,251900000,404500000.0,1397300000.0,403900000.0,-5300000.0,,104300000.0,844800000.0,1062000000.0,-37500000.0,135900000.0,110600000.0,121700000.0,130200000.0,-10400000,146200000.0,-10400000.0,,,408300000.0,,,,,,,
1997-12-31,4300000.0,990000000.0,105600000.0,19600000.0,-422700000.0,4900000.0,154900000.0,78800000.0,165000000.0,0.0,21400000.0,0.16675,,44400000.0,,40600000.0,148725637.0,165000000.0,55700000.0,-15600000.0,-14900000.0,1749000000.0,2244000000.0,,14800000.0,-30500000.0,,,,,105800000.0,425900000.0,64000000.0,78800000.0,148725637.0,78800000.0,-8400000.0,94900000,0.16675,,24800000.0,-26000000.0,-11900000.0,3100000.0,-11200000.0,1550300000.0,21600000.0,73300000,-73200000.0,900000.0,471200000,444500000.0,1412700000.0,495000000.0,-3700000.0,,106800000.0,876600000.0,1105800000.0,11900000.0,173700000.0,180700000.0,235700000.0,235500000.0,24800000,162200000.0,24800000.0,,,425800000.0,,,,,,,
1998-03-31,4000000.0,992600000.0,62200000.0,26600000.0,-436500000.0,1100000.0,156900000.0,78400000.0,72300000.0,0.0,22200000.0,0.211217,,57800000.0,669100000.0,40100000.0,147715616.0,72300000.0,-113900000.0,-15700000.0,128700000.0,1747000000.0,2184200000.0,,-400000.0,113000000.0,,,,,75900000.0,413800000.0,78800000.0,78400000.0,149287059.0,78400000.0,3800000.0,115600000,0.208993,,31200000.0,-15200000.0,-31300000.0,22400000.0,7100000.0,1476600000.0,21900000.0,93700000,56200000.0,-2800000.0,488300000,353500000.0,1429100000.0,437200000.0,200000.0,,115300000.0,890400000.0,,43500000.0,205300000.0,167500000.0,227500000.0,260800000.0,31200000,167100000.0,31200000.0,,,431800000.0,,,,,,,
1998-06-30,4600000.0,992500000.0,75700000.0,-1600000.0,-450200000.0,1000000.0,156700000.0,42100000.0,75500000.0,0.0,21100000.0,-0.02668,,-5500000.0,,49200000.0,146176912.0,75500000.0,-23300000.0,-15100000.0,34500000.0,1723600000.0,2089900000.0,,-36300000.0,19400000.0,,,,,65800000.0,413900000.0,78400000.0,42100000.0,146176912.0,42100000.0,-31900000.0,25900000,-0.02668,,-3900000.0,-47500000.0,-21600000.0,6200000.0,-19800000.0,1418500000.0,21900000.0,4000000,13500000.0,8700000.0,255200000,288900000.0,1442700000.0,366300000.0,-700000.0,,142100000.0,889000000.0,1129600000.0,-13500000.0,147600000.0,100400000.0,104800000.0,150400000.0,-3900000,146400000.0,-3900000.0,,,412300000.0,,,,,,,
