,annualEndCashPosition,trailingEndCashPosition,annualCurrentDeferredRevenue,annualTaxProvision,quarterlyEbitda,quarterlySellingGeneralAndAdministration,trailingTaxProvision,quarterlyOtherNonCashItems,annualAccountsPayable,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualCostOfRevenue,annualGainsLossesNotAffectingRetainedEarnings,annualTotalRevenue,quarterlyEndCashPosition,annualCommonStockIssuance,annualOtherShortTermInvestments,annualFreeCashFlow,annualNetOtherFinancingCharges,annualDilutedAverageShares,trailingOperatingIncome,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,annualCurrentDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualTotalLiabilitiesNetMinorityInterest,trailingNetIncomeContinuousOperations,annualOperatingExpense,annualOtherNonCurrentAssets,quarterlyOtherShortTermInvestments,trailingNetOtherInvestingChanges,annualAccumulatedDepreciation,annualChangeInWorkingCapital,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,quarterlyTotalRevenue,annualNetOtherInvestingChanges,quarterlyIncomeTaxPayable,quarterlyGrossPPE,trailingFreeCashFlow,trailingOperatingExpense,quarterlyOperatingIncome,quarterlyDilutedEPS,trailingCostOfRevenue,trailingNetIncome,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,trailingBeginningCashPosition,trailingCashDividendsPaid,annualNetIncome,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,annualCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyBasicAverageShares,annualRetainedEarnings,annualDilutedEPS,quarterlyCostOfRevenue,annualNetIncomeCommonStockholders,quarterlyAccountsReceivable,trailingSellingGeneralAndAdministration,annualAccountsReceivable,annualBeginningCashPosition,annualCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,trailingSaleOfInvestment,annualSellingGeneralAndAdministration,quarterlyStockholdersEquity,annualOtherNonCashItems,quarterlyNetIncome,trailingNetIncomeCommonStockholders,annualTotalNonCurrentAssets,quarterlyNetIncomeContinuousOperations,annualOtherCurrentAssets,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,annualLongTermDebt,annualTotalAssets,annualStockholdersEquity,quarterlyRepaymentOfDebt,annualCashFlowFromContinuingFinancingActivities,quarterlyTaxProvision,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,trailingCashFlowFromContinuingFinancingActivities,quarterlyCashAndCashEquivalents,annualInventory,annualCurrentLiabilities,annualOperatingCashFlow,quarterlyAccumulatedDepreciation,trailingGrossProfit,quarterlyOperatingExpense,trailingOtherIncomeExpense,quarterlyCurrentDeferredRevenue,annualCapitalStock,trailingOperatingCashFlow,annualPurchaseOfBusiness,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyOtherIntangibleAssets,annualNonCurrentDeferredTaxesLiabilities,quarterlyNetOtherFinancingCharges,annualSaleOfInvestment,trailingOtherNonCashItems,annualOtherIntangibleAssets,annualGrossProfit,annualEbitda,annualNetPPE,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,annualBasicAverageShares,annualChangeInInventory,quarterlyPurchaseOfBusiness,annualCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,quarterlyNetPPE,trailingInterestExpense,annualNonCurrentDeferredRevenue,annualPretaxIncome,trailingPretaxIncome,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,annualPurchaseOfInvestment,annualChangeInCashSupplementalAsReported,trailingInvestingCashFlow,annualDeferredIncomeTax,quarterlyFreeCashFlow,quarterlySaleOfInvestment,annualOtherNonCurrentLiabilities,quarterlyTotalNonCurrentAssets,annualInterestExpense,quarterlyTotalAssets,annualInvestmentsAndAdvances,trailingChangeInWorkingCapital,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyDilutedAverageShares,annualBasicEPS,quarterlyBeginningCashPosition,annualIncomeTaxPayable,trailingRepaymentOfDebt,annualRepaymentOfDebt,quarterlyInterestExpense,quarterlyCurrentDebt,annualCapitalExpenditure,annualGrossPPE,annualOtherCurrentLiabilities,annualOperatingIncome,trailingChangeInCashSupplementalAsReported,annualInvestingCashFlow,annualOtherIncomeExpense,trailingTotalRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,annualResearchAndDevelopment,trailingBasicAverageShares,trailingStockBasedCompensation,quarterlyChangeInInventory,trailingDeferredIncomeTax,quarterlyCommonStockIssuance,trailingRepurchaseOfCapitalStock,quarterlyStockBasedCompensation,trailingCapitalExpenditure,quarterlyRepurchaseOfCapitalStock,annualCurrentAccruedExpenses,trailingChangeInInventory,trailingChangesInAccountReceivables,trailingPurchaseOfBusiness,trailingDilutedEPS,annualChangesInAccountReceivables,trailingNetOtherFinancingCharges,annualGoodwill,annualStockBasedCompensation,annualChangeInAccountPayable,trailingBasicEPS,trailingResearchAndDevelopment,trailingDepreciationAndAmortization,quarterlyDeferredIncomeTax,trailingCommonStockIssuance,quarterlyChangeInAccountPayable,trailingPurchaseOfInvestment,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,annualRepurchaseOfCapitalStock,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,trailingDilutedAverageShares
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325289600,,,,,,,,,166246000.0,1217817000.0,,,,-81758000.0,,,,101707000.0,,,,,,,78674000.0,,,,1463309000.0,,,0.0,,,-5614000.0,,,40171000.0,,,,,,,,,,,,,,,,,,,266699000.0,,,,,,,,,1215000.0,,,,,,,,,,,,,1780530000.0,,0.0,,,1003239000.0,2047229000.0,535994000.0,,,,,,,,0.0,245492000.0,,,,,,,,,,,,,4652000.0,,,,1546795000.0,,,1546795000.0,,,,,,,,40171000.0,,,,,,,,,,,,,,,39026000.0,,,,180210000.0,,,,,,,,,,,,,1552409000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1356912000,97499000.0,,,4021000.0,,,,,111781000.0,1822236000.0,,,5165000.0,-100816000.0,107183000.0,,0.0,127647000.0,47982000.0,829322000.0,80000000.0,,,,48867000.0,,,,2058285000.0,,34285000.0,0.0,,,-26091000.0,66624000.0,141000.0,97499000.0,,-25929000.0,,,,,,,,,,,,,,1336000.0,,,331223000.0,,,,0.0167,,1336000.0,,,11194000.0,40171000.0,0.0,,,,,,11826000.0,,-2829000.0,,,2866871000.0,,0.0,,20234000.0,1320042000.0,3198094000.0,1081192000.0,,1107252000.0,,,,,,0.0,236049000.0,47982000.0,,,,,,,,-554276000.0,,,,15358000.0,,,,2058941000.0,102018000.0,82554000.0,2058941000.0,,,,,79000000.0,0.0,,97499000.0,,,,,4162000.0,,,,-518495000.0,56534000.0,,4021000.0,,,70600000.0,,58158000.0,,734083000.0,,,,,0.016911,,,,-61620000.0,,,-518495000.0,2085032000.0,58876000.0,67733000.0,,-1098700000.0,-5958000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1364688000,,,,,21554000.0,573000.0,,7970000.0,,,-132966000.0,,,,,138082000.0,,,,,,,-136971000.0,-4913000.0,,,-7523000.0,,,,,,,,,,,,32304000.0,,,,,,16779000.0,-0.06219,,,,,,,,,,,,,79000000.0,,,476000.0,,,,,,,,-0.06219,31828000.0,,,,,,-4913000.0,,,-6558000.0,,-4005000.0,,,,,,,839000.0,,,,,,,,,,15049000.0,,,,,,,-2256000.0,,,185259000.0,,,,,,,-132966000.0,,185259000.0,-6512000.0,,,,,-5719000.0,,,,,,,41776000.0,,,,,-6512000.0,,,,,,,,,,79000000.0,,97499000.0,,,,18728000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1372550400,,,,,42354000.0,978000.0,,16205000.0,,,-208038000.0,,,,,153952000.0,,,,,,,-210936000.0,24081000.0,,,17538000.0,,,,,,,,,,,,56000000.0,,,,,,31890000.0,,,,,,,,,,,,,,,,,2199000.0,,,,,,,,,53801000.0,,,,,,24081000.0,,,25398000.0,,-2898000.0,,,,,,,-14239000.0,,,,,,,,,,21911000.0,,,,,,,554000.0,,,207751000.0,,,,,,,-208038000.0,,207751000.0,17862000.0,,,,,11159000.0,,,,,,,14677000.0,,,,,17862000.0,,,,,,,,,,,,138082000.0,,,,22682000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1380499200,,,,,47543000.0,883000.0,,33265000.0,,,-132952000.0,,,,,160453000.0,,,,,,,-123928000.0,2515000.0,,,-51035000.0,,,,,,,,,,,,65725000.0,,,,,,37118000.0,,,,,,,,,,,,,,,,,1478000.0,,,,,,,,,64247000.0,,,,,,2515000.0,,,4823000.0,,9024000.0,,,,,,,-992000.0,,,,,,,,,,27129000.0,,,,,,,1518000.0,,,166297000.0,,,,,,,-132952000.0,,166297000.0,-37377000.0,,,,,3831000.0,,,,,,,4992000.0,,,,,-37377000.0,,,,,,,,,,,,153952000.0,,,,35085000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1388448000,357664000.0,,,-11762000.0,17629000.0,24441000.0,,-8491000.0,101409000.0,4051835000.0,72278000.0,,21424000.0,-27591000.0,210907000.0,357664000.0,,266363000.0,37388000.0,442986000.0,79000000.0,,-222732000.0,30917000.0,52312000.0,4326750000.0,50233000.0,,4326750000.0,,77897000.0,0.0,266363000.0,,-74166000.0,9213000.0,-1858000.0,357664000.0,56878000.0,-52250000.0,,4492286000.0,,,25799000.0,,,,,726868000.0,274915000.0,,,-3417000.0,0.0,2842338000.0,726868000.0,416264000.0,,,0.67,17271000.0,52600000.0,26649000.0,,26649000.0,97499000.0,,4051835000.0,,39607000.0,387324000.0,,26875000.0,1217919000.0,48949000.0,-25100000.0,,4887080000.0,-25521000.0,0.0,-54371000.0,46943000.0,2842338000.0,5613948000.0,1217919000.0,,914873000.0,2630000.0,357664000.0,21839000.0,,357664000.0,5244000.0,274915000.0,37388000.0,-74166000.0,,13808000.0,,,,,-240639000.0,5244000.0,-28212000.0,4418120000.0,21839000.0,-116321000.0,,,4418120000.0,189483000.0,129080000.0,4418120000.0,72278000.0,0.0,355566000.0,63415000.0,79000000.0,-5244000.0,,357664000.0,-22891000.0,4418120000.0,,,-13620000.0,,18792000.0,196249000.0,-401678000.0,257694000.0,,-11762000.0,63415000.0,,416264000.0,4887080000.0,95757000.0,5613948000.0,387324000.0,,,101409000.0,,0.67,160453000.0,,,-667784000.0,19262000.0,52312000.0,-401678000.0,4492286000.0,18792000.0,111586000.0,,-694567000.0,-28396000.0,,-27591000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1396224000,,,,,42798000.0,1707000.0,,76217000.0,,,-26306000.0,,,,,809676000.0,,,,,,,-39947000.0,-13500000.0,,4509281000.0,-36332000.0,,,,,,164336000.0,,,,,,63822000.0,,,4501745000.0,,,23901000.0,-0.17,,,,1073567000.0,697296000.0,,,,0.0,2312519000.0,,817667000.0,79000000.0,,,4499000.0,,36323000.0,,,,,3811985000.0,-0.17,59323000.0,402640000.0,,,1419804000.0,,-26906000.0,,,-28561000.0,,-13641000.0,,,,,,,-1814000.0,809676000.0,3328000.0,,809676000.0,,,,-101023000.0,,35422000.0,,,,,,5357000.0,-8090000.0,4400722000.0,,492509000.0,,,,,,,-26306000.0,0.0,492509000.0,-470000.0,,,,,-30375000.0,4400722000.0,,,,,18564000.0,452092000.0,,,,,-470000.0,,,4921699000.0,,5995266000.0,,,,69552000.0,79000000.0,,357664000.0,,,,45935000.0,517051000.0,,,,,,,,,-46577000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1404086400,,,,,93281000.0,87000.0,,79048000.0,,,-50991000.0,,,,,217345000.0,,,,,,,-39633000.0,-14733000.0,,3928434000.0,-93885000.0,73603000.0,,,,,280992000.0,,,,,,105986000.0,,,,,,56075000.0,,,,15010000.0,619169000.0,202790000.0,,,,0.0,2453600000.0,,1124583000.0,,,,7584000.0,,114372000.0,,,,,3725644000.0,,98402000.0,785926000.0,,,1835262000.0,,-1327000.0,,,738000.0,,11358000.0,,,,,,,4520000.0,498337000.0,3816000.0,,217345000.0,,,,,,42327000.0,,18400000.0,,,,6460000.0,6953000.0,4373789000.0,,-483248000.0,,,,,,,-50991000.0,0.0,-483248000.0,-69026000.0,,,,,5258000.0,4373789000.0,,,,,13246000.0,-591907000.0,,,,,-69026000.0,,,5207523000.0,,5826692000.0,,,8000000.0,137095000.0,,,809676000.0,,,,58065000.0,52106000.0,,,,,,,,,1812252000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1412035200,,,,,94193000.0,68000.0,,49892000.0,,,-4640000.0,,,,,265106000.0,,,,,,,-4640000.0,42626000.0,,3887956000.0,17197000.0,,,,,,261677000.0,,,,,,99505000.0,,,,,,54968000.0,,,,29936000.0,630011000.0,238587000.0,,,,0.0,2382131000.0,,1115439000.0,,,,3300000.0,,96310000.0,,,,,3649369000.0,,96205000.0,780301000.0,,,1833050000.0,,14393000.0,,,15464000.0,,0.0,,,,,,,1419000.0,526783000.0,7788000.0,,265106000.0,,,,,,41237000.0,,18400000.0,,,,6918000.0,3943000.0,4319308000.0,,-10059000.0,,,,,,,-4640000.0,0.0,-10059000.0,67475000.0,,,0.0,,16883000.0,4319308000.0,,,,,4509000.0,52776000.0,,,,,67475000.0,,,5149376000.0,,5779387000.0,,,8000000.0,125758000.0,,,217345000.0,,,,47625000.0,105170000.0,,,,,,,,,1795114000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419984000,354154000.0,,18400000.0,4413000.0,49913000.0,27833000.0,,-47656000.0,54074000.0,5543348000.0,24977000.0,,31583000.0,1745633000.0,362693000.0,354154000.0,681916000.0,229417000.0,43608000.0,-39035000.0,80000000.0,,-260948000.0,-17772000.0,333444000.0,6124364000.0,45029000.0,64400000.0,6124364000.0,,157767000.0,0.0,229417000.0,,-300398000.0,-67991000.0,-29265000.0,354154000.0,93380000.0,-21339000.0,16440000.0,7025576000.0,,,38399000.0,,,,-2031000.0,735335000.0,581016000.0,,,-31612000.0,0.0,3868037000.0,735335000.0,1043837000.0,,-2031000.0,-0.04,16200000.0,-3379000.0,78521000.0,,78521000.0,357664000.0,-23696000.0,5543348000.0,,77180000.0,5711000.0,,29695000.0,1751602000.0,157501000.0,-17772000.0,,7228660000.0,-16906000.0,0.0,-19056000.0,125480000.0,3868037000.0,7963995000.0,1751602000.0,,304441000.0,288000.0,583571000.0,60818000.0,,354154000.0,22068000.0,581016000.0,43608000.0,-300398000.0,,38781000.0,,18400000.0,8000000.0,,-266869000.0,22068000.0,-22180000.0,6725178000.0,60818000.0,643678000.0,,,6725178000.0,331110000.0,280185000.0,6725178000.0,24977000.0,0.0,305238000.0,45629000.0,80000000.0,379000.0,-266869000.0,583571000.0,-16618000.0,6725178000.0,,64400000.0,-24852000.0,,144704000.0,89920000.0,-56960000.0,2881000.0,,4413000.0,45629000.0,,1043837000.0,7228660000.0,179557000.0,7963995000.0,5711000.0,,8000000.0,54074000.0,,-0.04,265106000.0,16440000.0,,-1665433000.0,27932000.0,333444000.0,-56960000.0,7025576000.0,144704000.0,173343000.0,,-345168000.0,-19374000.0,,1745633000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1427760000,,,,,98872000.0,571000.0,,90024000.0,,,-9194000.0,,,,,267442000.0,,,,,,,-91222000.0,-14554000.0,,6443623000.0,-20658000.0,,,,,,625445000.0,,,,,,118304000.0,,15983000.0,6952368000.0,,,42855000.0,-0.181925,,,17822000.0,1040993000.0,625121000.0,,,,0.0,3813238000.0,,1709313000.0,80000000.0,,,12923000.0,,135465000.0,,,,,5818502000.0,-0.181925,105381000.0,503737000.0,,,1683766000.0,,-14554000.0,,,-12698000.0,,-9194000.0,,,,,,,-3876000.0,892887000.0,43780000.0,,267442000.0,,,,-334449000.0,,62526000.0,,18400000.0,,,,12641000.0,130000.0,6617919000.0,,-18601000.0,,,,,,,-9194000.0,0.0,-18601000.0,37377000.0,,,-82028000.0,,-16574000.0,6617919000.0,,,,,0.0,-72446000.0,,,,,37377000.0,,,7240822000.0,,8281815000.0,,,8000000.0,243001000.0,80000000.0,,354154000.0,,,,63192000.0,366137000.0,,,,,,,,,1657944000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435622400,,,,,159331000.0,1223000.0,,116079000.0,,,-83976000.0,,,,,528164000.0,,,,,,,-480650000.0,12881000.0,,8114339000.0,21037000.0,,,,,,608167000.0,,,,,,190265000.0,,22258000.0,,,,95285000.0,0.14,,,-78547000.0,1382929000.0,795910000.0,,,,0.0,5115014000.0,,1705334000.0,90442000.0,,,5796000.0,,232813000.0,,,,,7318429000.0,0.14,184469000.0,393991000.0,,,2284374000.0,,12881000.0,,,17839000.0,,3143000.0,,,,,,,10304000.0,1136331000.0,56971000.0,,528164000.0,,,,,,89184000.0,,18400000.0,,,,13785000.0,1739000.0,8562689000.0,,693561000.0,,,,,,,-83976000.0,0.0,693561000.0,41932000.0,,,-399817000.0,,28143000.0,8562689000.0,,,,,0.0,254843000.0,,,,,41932000.0,,,9151841000.0,,10534770000.0,,,10022000.0,270361000.0,90442000.0,,267442000.0,,,,73093000.0,503291000.0,,,,,,,,,2352899000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
