date,quarterlyOperatingExpense,annualNetPPE,annualOtherIncomeExpense,annualTotalNonCurrentAssets,annualOtherIntangibleAssets,annualCashCashEquivalentsAndMarketableSecurities,trailingGrossProfit,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,annualOperatingCashFlow,annualGrossProfit,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,trailingRepaymentOfDebt,annualEbitda,quarterlyCapitalStock,annualCashFlowFromContinuingFinancingActivities,quarterlyPurchaseOfBusiness,quarterlyNetPPE,annualDilutedAverageShares,quarterlyPretaxIncome,trailingChangeInCashSupplementalAsReported,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,annualGrossPPE,quarterlyInterestExpense,trailingCashFlowFromContinuingFinancingActivities,trailingDepreciationAndAmortization,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,annualBeginningCashPosition,quarterlyOtherIntangibleAssets,annualPurchaseOfBusiness,trailingOtherIncomeExpense,annualOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,annualOtherNonCurrentAssets,annualBasicAverageShares,quarterlyOtherNonCurrentLiabilities,annualSellingGeneralAndAdministration,annualStockholdersEquity,annualCurrentAssets,annualOtherNonCashItems,annualTotalAssets,annualRepurchaseOfCapitalStock,quarterlyOtherCurrentAssets,annualLongTermDebt,quarterlyAccountsReceivable,annualCurrentLiabilities,annualNetIncomeCommonStockholders,quarterlyNetOtherInvestingChanges,annualDepreciationAndAmortization,quarterlyCostOfRevenue,trailingNetOtherInvestingChanges,trailingNetIncomeCommonStockholders,annualRetainedEarnings,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,annualAccountsReceivable,trailingOperatingCashFlow,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyDilutedEPS,trailingRepurchaseOfCapitalStock,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,trailingCommonStockIssuance,annualGainsLossesNotAffectingRetainedEarnings,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,trailingFreeCashFlow,annualOperatingIncome,quarterlyCurrentAssets,annualCommonStockIssuance,annualOtherShortTermInvestments,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,annualAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,annualTotalNonCurrentLiabilitiesNetMinorityInterest,annualChangeInAccountPayable,annualEndCashPosition,annualTotalLiabilitiesNetMinorityInterest,annualChangeInWorkingCapital,annualOtherCurrentAssets,quarterlyRetainedEarnings,trailingTotalRevenue,trailingCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,trailingEndCashPosition,annualNetIncomeContinuousOperations,annualCashAndCashEquivalents,trailingPretaxIncome,annualNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,annualPretaxIncome,annualCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,annualCostOfRevenue,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,trailingOperatingIncome,annualInvestmentsAndAdvances,annualFreeCashFlow,quarterlyTotalNonCurrentAssets,annualNetIncome,annualCashDividendsPaid,trailingSellingGeneralAndAdministration,annualInvestingCashFlow,annualCapitalExpenditure,trailingOperatingExpense,annualOperatingExpense,trailingCapitalExpenditure,quarterlyGrossPPE,trailingInvestingCashFlow,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,annualBasicEPS,quarterlyRepurchaseOfCapitalStock,annualAccumulatedDepreciation,trailingBeginningCashPosition,annualDilutedEPS,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,trailingNetIncomeContinuousOperations,trailingCashDividendsPaid,quarterlyDilutedAverageShares,trailingInterestExpense,trailingNetIncome,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,annualChangesInAccountReceivables,annualNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,trailingStockBasedCompensation,quarterlyEbitda,trailingNetOtherFinancingCharges,annualOtherCurrentLiabilities,annualNetOtherFinancingCharges,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,annualChangeInCashSupplementalAsReported,annualInterestExpense,annualRepaymentOfDebt,trailingChangeInWorkingCapital,annualPurchaseOfInvestment,annualTotalRevenue,annualCapitalStock,annualStockBasedCompensation,annualCurrentAccruedExpenses,quarterlyCurrentAccruedExpenses,trailingChangeInAccountPayable,trailingOtherNonCashItems,quarterlyIncomeTaxPayable,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualGoodwill,annualChangeInInventory,trailingTaxProvision,trailingPurchaseOfBusiness,annualIncomeTaxPayable,annualInventory,trailingDeferredIncomeTax,annualSaleOfInvestment,trailingResearchAndDevelopment,quarterlyDeferredIncomeTax,trailingSaleOfInvestment,quarterlyNonCurrentDeferredTaxesLiabilities,trailingDilutedEPS,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,quarterlyInventory,quarterlySaleOfInvestment,annualCurrentDebt,quarterlyTaxProvision,trailingDilutedAverageShares,annualNonCurrentDeferredTaxesLiabilities,annualDeferredIncomeTax,quarterlyCurrentDebt,annualTaxProvision,trailingChangeInInventory,quarterlyChangeInInventory,quarterlyGoodwill,trailingBasicEPS
2008-12-31,,810920000.0,-12943000.0,972417000.0,134623000.0,128331000.0,474066000.0,,,,20677000.0,52244000.0,,,-1214574000.0,42806000.0,,628662000.0,,,112164500.0,,-222341000.0,,,,835570000.0,,-243621000.0,271283000.0,,,,5467000.0,,,-18806000.0,12710000.0,,,1762000.0,112075500.0,,9438000.0,599320000.0,141506000.0,12912000.0,1113923000.0,-1077000.0,,460762000.0,,24982000.0,-28448000.0,,35617000.0,,730000.0,36565000.0,-74786000.0,,,5428000.0,335027000.0,,,,-63047000.0,,,,,51804000.0,,,,258760000.0,5408000.0,,528816000.0,,,,3063000.0,,,487670000.0,-176000.0,128331000.0,512652000.0,-15000.0,0.0,,687532000.0,213466000.0,,,17816000.0,-28409000.0,128331000.0,37327000.0,-18359000.0,,,,,,,28174000.0,,,152698000.0,,-487439000.0,,-28448000.0,,40072000.0,-526475000.0,-508116000.0,321368000.0,46836000.0,-76267000.0,,-313747000.0,,,-0.253829,,-24650000.0,240157000.0,-0.253829,,,37327000.0,-255090000.0,,97058000.0,36565000.0,,,,,-4261000.0,,,9753000.0,,-34641000.0,0.0,-73139000.0,,,122864000.0,21343000.0,-59633000.0,-5504000.0,,80418000.0,755000.0,130000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-03-31,16874000.0,,,,,,,,,,,,128331000.0,-8922000.0,,,,,,,,,,-1731000.0,-2030000.0,159764000.0,,7500000.0,,,,-25345000.0,,,,,,,-6870000.0,-6800000.0,,,,,,,,,,,,,,,-304000.0,,11801000.0,,,,,,,,,18015000.0,-0.059898,,-569000.0,-38922000.0,255068000.0,-67000.0,,,,,,,,,,12400000.0,-937000.0,,3575000.0,-0.059898,,,,,,,,,,,29816000.0,,,,,,114695500.0,-36588000.0,,,3865000.0,,,,-6870000.0,,,,,,,,,,,,,,,5895000.0,126737000.0,,-1310000.0,,,,1141000.0,,,,114784000.0,,,,,825000.0,,,,58000.0,,14440000.0,,,,193645000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,16750000.0,,,,,,,,,,,,255068000.0,-720000.0,,,,,,,,,,-292000.0,-81037000.0,171612000.0,,7428000.0,,,,-30368000.0,,,,,,,-3637000.0,-3535000.0,,,,,,,,,,,,,,,-107000.0,,10560000.0,,,,,,,,,19918000.0,-0.03171,,681000.0,-44556000.0,390479000.0,416000.0,,,,,,,,,,11711000.0,-2350000.0,,4105000.0,-0.03171,,,,,,,,,,,30478000.0,,,,,,114695500.0,,,,-72682000.0,,,,-3637000.0,,,,,,,,,,,,,,,8355000.0,135411000.0,,-2542000.0,,,,3168000.0,,,,114784000.0,,,,,1891000.0,,,,59000.0,,15813000.0,,,,205242000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-30,18462000.0,,,,,,,,,,,,390479000.0,-982000.0,,,,,,,,,,-783000.0,-164921000.0,101372000.0,,7072000.0,,,,-28386000.0,,,,,,,-10144000.0,-10074000.0,,,,,,,,,,,,,,,-6857000.0,,10494000.0,,,,,,,,,21254000.0,-0.088443,,-5854000.0,-171778000.0,321791000.0,-142000.0,,,,,,,,,,11977000.0,-64000.0,,5175000.0,-0.088443,,,,,,,,,,,31748000.0,,,,,,114695500.0,,,,-163203000.0,,,,-10144000.0,,,,,,,,,,,,,,,1718000.0,-68688000.0,,-3676000.0,,,,2792000.0,,,,114784000.0,,,,,-833000.0,,,,543000.0,,16079000.0,,,,134416000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,17577000.0,1149789000.0,-10474000.0,1429649000.0,203222000.0,219001000.0,,219001000.0,,219001000.0,21001000.0,84462000.0,321791000.0,-1047000.0,,68394000.0,1405000.0,524524000.0,,1149789000.0,112164500.0,,,-2361000.0,-163340000.0,91776000.0,1206478000.0,7346000.0,,,-56689000.0,-23788000.0,4276000.0,128331000.0,203222000.0,,,14769000.0,-4427000.0,-4364000.0,4276000.0,112075500.0,14769000.0,16068000.0,1071317000.0,243886000.0,-5517000.0,1673535000.0,-16266000.0,0.0,540028000.0,10820000.0,35247000.0,-25077000.0,-36259000.0,48808000.0,12170000.0,,,-182084000.0,1071317000.0,,10820000.0,,540028000.0,25274000.0,,,-4731000.0,-199599000.0,219001000.0,3424000.0,,,,35247000.0,,14799000.0,243886000.0,622652000.0,,12720000.0,-2166000.0,4776000.0,3213000.0,,563422000.0,3631000.0,219001000.0,598669000.0,702000.0,0.0,-182084000.0,,,563422000.0,37444000.0,,-24773000.0,219001000.0,,-43527000.0,,,,,-158307000.0,598669000.0,45024000.0,1673535000.0,-4427000.0,,,-390327000.0,1429649000.0,-25077000.0,,,-454855000.0,-411328000.0,,69663000.0,,1206478000.0,,5033000.0,-102790000.0,-0.223751,-8738000.0,-56689000.0,,-0.223751,7697000.0,0.0,,,,,,4776000.0,,-1181000.0,,-5167000.0,,156000.0,,22061000.0,,0.0,-107887000.0,89349000.0,,90670000.0,29347000.0,-11671000.0,,,129486000.0,1405000.0,816000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,20499000.0,,,,,,,128404000.0,,128404000.0,,,219001000.0,-26205000.0,,,1515000.0,,,1258896000.0,,,,-312000.0,-4828000.0,52459000.0,,9142000.0,,,-67423000.0,-30411000.0,4653000.0,,221163000.0,,,,-546000.0,-482000.0,,,15716000.0,,,,,,,0.0,,10802000.0,,,-17135000.0,,15088000.0,,,,1140197000.0,,,,533339000.0,30665000.0,-0.00476,,-1522000.0,-155602000.0,128404000.0,-3769000.0,,,,32821000.0,,,170265000.0,,,19880000.0,-1702000.0,,3188000.0,-0.00476,,,,,,,-208361000.0,,,555783000.0,45753000.0,,,,,,114695500.0,-133639000.0,,,7718000.0,588604000.0,,1728997000.0,-546000.0,,,,1558732000.0,,,,,,,,,1326319000.0,,12546000.0,-90597000.0,,-8533000.0,,,,10166000.0,0.0,,,114784000.0,,,1007000.0,,-5365000.0,,,,156000.0,,30046000.0,,,,104608000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,22089000.0,,,,,,,176886000.0,,176886000.0,,,128404000.0,-1521000.0,,,1626000.0,,,1342915000.0,,,,-928000.0,-199540000.0,100072000.0,,8849000.0,,,-79127000.0,-25408000.0,5290000.0,,232531000.0,,,,244000.0,245000.0,,,26715000.0,,,,,,,0.0,,11259000.0,,,-4919000.0,,15672000.0,,,,1208808000.0,,,,598567000.0,31656000.0,0.002126,,-507000.0,-70820000.0,176886000.0,0.0,,,,38816000.0,,,221280000.0,,,12674000.0,-2941000.0,,3487000.0,0.002127,,,,,,,-236385000.0,,,629687000.0,47328000.0,,,,,,114695500.0,,,,-180310000.0,668503000.0,,1881514000.0,244000.0,,,,1660234000.0,,,,,,,,,1422042000.0,,19230000.0,48482000.0,,-10625000.0,,,,9567000.0,0.0,,,114784000.0,,,1007000.0,,9005000.0,,,,209000.0,,28169000.0,,,,104751000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,24950000.0,,,,,,,221186000.0,,221186000.0,,,176886000.0,-56084000.0,,,1807000.0,,,1410137000.0,,,,-1451000.0,-87331000.0,104144000.0,,8480000.0,,,-91641000.0,-31903000.0,5381000.0,,240303000.0,,,,1133000.0,1008000.0,,,16018000.0,,,,,,,0.0,,12590000.0,,,9640000.0,,17837000.0,,,,1336905000.0,,,,594428000.0,34659000.0,0.009871,,-245000.0,-77691000.0,221186000.0,0.0,,,,42881000.0,,,258182000.0,,,18560000.0,72000.0,,5096000.0,0.009878,,,,,,,-266387000.0,,,613072000.0,52496000.0,,,,,,114695500.0,,,,-69484000.0,655953000.0,,1996907000.0,1133000.0,,,,1738725000.0,,,,,,,,,1501778000.0,,17847000.0,44300000.0,,-12015000.0,,,,9709000.0,0.0,,,114784000.0,,,1007000.0,,-2589000.0,,,,514000.0,,29563000.0,,,,170896000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,34828000.0,1797463000.0,-5363000.0,2199461000.0,300587000.0,29270000.0,,29270000.0,,29270000.0,58503000.0,134541000.0,221186000.0,-39307000.0,,108503000.0,2026000.0,378615000.0,,1797463000.0,112164500.0,,,-4411000.0,-320286000.0,121940000.0,1900425000.0,8865000.0,,,-102962000.0,-39492000.0,9327000.0,219001000.0,300587000.0,,,29596000.0,-8734000.0,-10186000.0,9327000.0,112075500.0,29596000.0,26038000.0,1487246000.0,72334000.0,-6095000.0,2271795000.0,-51856000.0,0.0,706526000.0,16385000.0,43033000.0,-7903000.0,-2450000.0,72678000.0,17751000.0,,,-310193000.0,1487246000.0,,16385000.0,,706526000.0,36551000.0,,,-3089000.0,-322736000.0,29270000.0,-1007000.0,,,,43033000.0,,31165000.0,72334000.0,594677000.0,,21564000.0,-1524000.0,,13257000.0,,737649000.0,-4776000.0,29270000.0,780682000.0,-2496000.0,0.0,-310193000.0,,,737649000.0,54302000.0,,-9415000.0,29270000.0,,-14864000.0,,,,,-311406000.0,780682000.0,65338000.0,2271795000.0,-8734000.0,,,-553482000.0,2199461000.0,-7903000.0,,,-626849000.0,-611985000.0,,103376000.0,,1900425000.0,,8880000.0,-191916000.0,-0.070515,-20683000.0,-102962000.0,,-0.070515,1723000.0,0.0,,,,,,,,-3547000.0,,-7102000.0,,434000.0,,23294000.0,,0.0,-127214000.0,214422000.0,,-189731000.0,35336000.0,-123117000.0,,,199879000.0,2026000.0,1313000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,34058000.0,,,,,,,207405000.0,,207405000.0,,,29270000.0,-110496000.0,,,2251000.0,,,1811307000.0,,,,866000.0,-32281000.0,181497000.0,,10346000.0,,,-118851000.0,-35801000.0,10390000.0,,298330000.0,,,,2150000.0,1446000.0,,,29609000.0,,,,,,,0.0,,15221000.0,,,3809000.0,,23772000.0,,,,1656705000.0,,,,728101000.0,46290000.0,0.018731,,-558000.0,-28472000.0,207405000.0,,,,,44555000.0,,,247996000.0,,,23998000.0,-504000.0,,7308000.0,0.018745,,,,,,,-346574000.0,,,758921000.0,70062000.0,,,,,,114695500.0,,,,-7171000.0,803476000.0,,2464070000.0,2150000.0,,,,2216074000.0,,,,,,,,,1930158000.0,,25110000.0,178135000.0,,-7916000.0,,,,12232000.0,0.0,,,114784000.0,,,,,-1808000.0,,,,897000.0,,38982000.0,,,,210210000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,33456000.0,,,,,,,154287000.0,,154287000.0,,,207405000.0,-60411000.0,,,2267000.0,,,1774259000.0,,,,1932000.0,-3338000.0,-94720000.0,,10319000.0,,,-135012000.0,-25961000.0,35361000.0,,286957000.0,,,,1171000.0,467000.0,,,32426000.0,,,,,,,0.0,,13190000.0,,,9264000.0,,21629000.0,,,,1628393000.0,,,,667540000.0,45655000.0,0.010202,,-1439000.0,5926000.0,154287000.0,,,,,46509000.0,,,182583000.0,,,27075000.0,1078000.0,,6755000.0,0.01021,,,,,,,-386322000.0,,,701651000.0,67284000.0,,,,,,114695500.0,,,,32338000.0,748160000.0,,2380328000.0,1171000.0,,,,2197745000.0,,,,,,,,,1909271000.0,,35676000.0,-53118000.0,,-9768000.0,,,,12199000.0,0.0,,,114784000.0,,,,,5599000.0,,,,645000.0,,39274000.0,,,,1420000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
