,trailingInterestExpense,quarterlyOtherCurrentAssets,trailingBeginningCashPosition,annualInterestExpense,annualChangesInAccountReceivables,quarterlyChangeInInventory,annualCurrentAssets,annualBeginningCashPosition,trailingChangeInCashSupplementalAsReported,annualGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,annualNetIncomeCommonStockholders,annualDeferredIncomeTax,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyAccountsPayable,annualSellingGeneralAndAdministration,quarterlyChangeInAccountPayable,annualRepaymentOfDebt,quarterlyOperatingExpense,annualOtherIncomeExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,trailingGrossProfit,annualCapitalExpenditure,trailingNetIncomeCommonStockholders,annualChangeInCashSupplementalAsReported,annualCurrentAccruedExpenses,quarterlyStockholdersEquity,annualOtherCurrentLiabilities,quarterlyNetOtherInvestingChanges,annualTaxProvision,quarterlyTaxProvision,annualInventory,quarterlyRepaymentOfDebt,annualCurrentDebt,quarterlyAccumulatedDepreciation,annualStockBasedCompensation,trailingCostOfRevenue,quarterlyNetPPE,annualCapitalStock,annualCostOfRevenue,quarterlyCommonStockIssuance,annualOtherCurrentAssets,annualOtherNonCashItems,quarterlyStockBasedCompensation,annualTotalNonCurrentAssets,quarterlyOtherNonCashItems,quarterlyEbitda,annualGrossProfit,annualNetOtherFinancingCharges,trailingTaxProvision,annualNonCurrentDeferredTaxesLiabilities,quarterlyDeferredIncomeTax,annualTotalLiabilitiesNetMinorityInterest,annualAccumulatedDepreciation,annualFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,annualOperatingExpense,quarterlyPretaxIncome,annualChangeInWorkingCapital,quarterlyRetainedEarnings,trailingOperatingExpense,annualPurchaseOfBusiness,trailingNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,annualNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyGrossPPE,trailingFreeCashFlow,annualBasicEPS,annualChangeInInventory,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingIncome,annualTotalAssets,annualNetIncome,trailingNetIncome,annualGoodwill,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,annualLongTermDebt,annualCashDividendsPaid,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,annualDilutedAverageShares,annualAccountsReceivable,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherShortTermInvestments,quarterlyOtherNonCurrentLiabilities,trailingInvestingCashFlow,quarterlyAccountsReceivable,annualPretaxIncome,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,annualSaleOfInvestment,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,annualCommonStockIssuance,annualStockholdersEquity,annualOperatingIncome,quarterlyInvestmentsAndAdvances,annualTotalRevenue,annualPurchaseOfInvestment,annualDilutedEPS,quarterlyNetIncome,annualInvestingCashFlow,quarterlySellingGeneralAndAdministration,annualRetainedEarnings,quarterlyNetIncomeContinuousOperations,annualDepreciationAndAmortization,quarterlyGoodwill,annualCashFlowFromContinuingFinancingActivities,quarterlyEndCashPosition,quarterlyInvestingCashFlow,annualEndCashPosition,quarterlyNetIncomeCommonStockholders,annualBasicAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,trailingTotalRevenue,trailingOperatingCashFlow,quarterlyInventory,quarterlyOtherIncomeExpense,annualOperatingCashFlow,annualTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,annualChangeInAccountPayable,trailingOtherIncomeExpense,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,annualAccountsPayable,trailingOperatingIncome,annualCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,annualOtherShortTermInvestments,trailingEndCashPosition,annualOtherIntangibleAssets,quarterlyDepreciationAndAmortization,annualInvestmentsAndAdvances,annualIncomeTaxPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,annualOtherNonCurrentAssets,annualNetPPE,annualEbitda,annualGainsLossesNotAffectingRetainedEarnings,quarterlyNetOtherFinancingCharges,annualOtherNonCurrentLiabilities,quarterlyFreeCashFlow,annualRepurchaseOfCapitalStock,annualCashAndCashEquivalents,annualNetOtherInvestingChanges,annualCashCashEquivalentsAndMarketableSecurities,trailingPretaxIncome,trailingChangeInAccountPayable,trailingOtherNonCashItems,quarterlyCurrentDeferredRevenue,trailingCashDividendsPaid,trailingChangeInWorkingCapital,trailingBasicAverageShares,quarterlyResearchAndDevelopment,annualNonCurrentDeferredRevenue,trailingPurchaseOfBusiness,trailingNetOtherFinancingCharges,trailingDeferredIncomeTax,trailingResearchAndDevelopment,trailingSellingGeneralAndAdministration,trailingSaleOfInvestment,trailingCashFlowFromContinuingFinancingActivities,trailingDilutedEPS,trailingNetOtherInvestingChanges,trailingRepaymentOfDebt,trailingChangesInAccountReceivables,trailingPurchaseOfInvestment,annualResearchAndDevelopment,trailingDilutedAverageShares,trailingCommonStockIssuance,annualCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,trailingCapitalExpenditure,trailingStockBasedCompensation,trailingRepurchaseOfCapitalStock,trailingDepreciationAndAmortization,trailingChangeInInventory,trailingBasicEPS
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915062400,,,,227000000.0,-308000000.0,,5425000000.0,460000000.0,,19554000000.0,,,1741000000.0,23000000.0,,,,,,14346000000.0,,-310000000.0,,39000000.0,,,,,-1645000000.0,,780000000.0,,,1985000000.0,,1161000000.0,,380000000.0,,410000000.0,,,,,56000000.0,6240000000.0,,703000000.0,2224000000.0,,11642000000.0,,,18548000000.0,45000000.0,,3017000000.0,,9894000000.0,-8170000000.0,1223000000.0,,,15458000000.0,,-66000000.0,,,,,,,1741000000.0,,,,,1.59,37000000.0,,,,,,17067000000.0,1741000000.0,,,,,2191000000.0,-466000000.0,,,1108917197.0,,,,,,,2902000000.0,,,,,,785000000.0,7173000000.0,3090000000.0,,24788000000.0,-390000000.0,1.57,,-1655000000.0,,7280000000.0,,1112000000.0,,-433000000.0,,,1240000000.0,,1094968553.0,,,,,,2868000000.0,6177000000.0,,,115000000.0,,,,1322000000.0,,3717000000.0,,,389000000.0,,,,,,,,,258000000.0,11384000000.0,4202000000.0,-62000000.0,,969000000.0,,-774000000.0,1240000000.0,164000000.0,1629000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922838400,,,,,,,,,,,,,,,0.46,,,1084782609.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6331000000.0,,,,,,,,,,,,,,,,,,,,,,1084782609.0,,,,,,,,6331000000.0,6331000000.0,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,499000000.0,,,,499000000.0,,,,,,,499000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930700800,,,,,,,,,,,,,,,0.52,,,1130769231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6560000000.0,,,,,,,,,,,,,,,,,,,,,,1130769231.0,,,,,,,,6560000000.0,6560000000.0,,,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,588000000.0,,,,588000000.0,,,,,,,588000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938649600,,,,,,,,,,,,,,,0.53,,,1088679245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6715000000.0,,,,,,,,,,,,,,,,,,,,,,1088679245.0,,,,,,,,6715000000.0,6715000000.0,,,,,,,,,,,,,,,,,,,,,,0.53,,,,,,,,,577000000.0,,,,577000000.0,,,,,,,577000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946598400,,1327000000.0,,228000000.0,-454000000.0,,11138000000.0,1240000000.0,,20470000000.0,,,883000000.0,575000000.0,,,,,1295000000.0,15285000000.0,,-679000000.0,,-3458000000.0,-170000000.0,12000000.0,,,-1476000000.0,,2964000000.0,998000000.0,12474000000.0,1032000000.0,,1205000000.0,,366000000.0,,512000000.0,-8891000000.0,,,11579000000.0,12000000.0,6640000000.0,,1327000000.0,,,11905000000.0,,-20472000000.0,20412000000.0,-21000000.0,,3469000000.0,,10569000000.0,-8891000000.0,747000000.0,,,21278000000.0,,-838000000.0,7536000000.0,,,,,,883000000.0,,,20470000000.0,,0.79,-18000000.0,11138000000.0,4198000000.0,,7446000000.0,-20472000000.0,23043000000.0,883000000.0,,,23043000000.0,11905000000.0,1912000000.0,-672000000.0,1912000000.0,1032000000.0,1146753247.0,3167000000.0,,2074000000.0,3469000000.0,,3167000000.0,2088000000.0,,998000000.0,2290000000.0,,6371000000.0,6007000000.0,12474000000.0,-866000000.0,,27052000000.0,-3981000000.0,0.77,661000000.0,-3125000000.0,,7536000000.0,661000000.0,1139000000.0,,3905000000.0,,,4204000000.0,661000000.0,1117721519.0,3469000000.0,,,366000000.0,,2223000000.0,6371000000.0,4204000000.0,512000000.0,-27000000.0,,,6278000000.0,1295000000.0,,4198000000.0,,,2074000000.0,,,,,,10569000000.0,326000000.0,,326000000.0,11579000000.0,273000000.0,-170000000.0,,3469000000.0,,-1232000000.0,4204000000.0,-1647000000.0,6278000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954460800,,0.0,,,,-94000000.0,,,,,-4124000000.0,-139000000.0,,,0.68,1385000000.0,5441000000.0,1195588235.0,1568000000.0,,273000000.0,,6137000000.0,,-182000000.0,11000000.0,4204000000.0,,,,,,8984000000.0,,-372000000.0,,541000000.0,,-196000000.0,,-9016000000.0,,,11462000000.0,,,24000000.0,,,,,,-413000000.0,,,,,79000000.0,,,,300000000.0,,,1354000000.0,,8143000000.0,,,,1360000000.0,-315000000.0,,-3532000000.0,1213432836.0,20478000000.0,,,,9080000000.0,5460000000.0,430000000.0,7220000000.0,-696000000.0,,,,,20918000000.0,11838000000.0,,,1952000000.0,881000000.0,,,-1733000000.0,1707000000.0,1021000000.0,,3306000000.0,,1779000000.0,1337000000.0,,0.67,6474000000.0,,,,,,,,813000000.0,,4075000000.0,,813000000.0,,,,2471000000.0,440000000.0,,813000000.0,,3501000000.0,,,460000000.0,323000000.0,,,2471000000.0,1244000000.0,,,52000000.0,4178000000.0,,,,-766000000.0,-206000000.0,,,,283000000.0,,,11934000000.0,376000000.0,,,,,,774000000.0,,1045000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962323200,,0.0,,,,54000000.0,,,,,-281000000.0,90000000.0,,,0.61,782000000.0,5493000000.0,1139344262.0,1267000000.0,,-301000000.0,,6120000000.0,,-205000000.0,11000000.0,2471000000.0,,,,,,9261000000.0,,-309000000.0,,464000000.0,,-151000000.0,,-9245000000.0,,,11450000000.0,,,53000000.0,,,,,,-340000000.0,,,,,-19000000.0,,,,180000000.0,,,1159000000.0,,8644000000.0,,,,1318000000.0,-348000000.0,,-542000000.0,1158333333.0,20695000000.0,,,,9256000000.0,5543000000.0,367000000.0,7284000000.0,-627000000.0,,,,,21085000000.0,11829000000.0,,,1748000000.0,874000000.0,,,-90000000.0,2277000000.0,1052000000.0,,3216000000.0,,1791000000.0,1586000000.0,,0.6,6281000000.0,,,,,,,,695000000.0,,4042000000.0,,695000000.0,,,,2381000000.0,-850000000.0,,695000000.0,,3481000000.0,,,406000000.0,60000000.0,,,2381000000.0,1449000000.0,,,65000000.0,4658000000.0,,,,-1332000000.0,-194000000.0,,,,287000000.0,,,11824000000.0,379000000.0,,,,,,-120000000.0,,970000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970272000,,0.0,,,,-100000000.0,,,,,-478000000.0,-167000000.0,,,0.62,1639000000.0,5527000000.0,1132258065.0,1433000000.0,,166000000.0,,6206000000.0,,-242000000.0,11000000.0,2381000000.0,,,,,,9266000000.0,,-779000000.0,,469000000.0,,-446000000.0,,-9442000000.0,,,11721000000.0,,,-7000000.0,,,,,,-385000000.0,,,,,-69000000.0,,,,-719000000.0,,,1171000000.0,,9152000000.0,,,,359000000.0,-584000000.0,,-601000000.0,1170000000.0,21163000000.0,,,,9107000000.0,5619000000.0,396000000.0,7367000000.0,-679000000.0,,,,,21412000000.0,12305000000.0,,,2052000000.0,832000000.0,,,-711000000.0,1922000000.0,1049000000.0,,3383000000.0,,1840000000.0,1740000000.0,,0.6,6527000000.0,,,,,,,,702000000.0,,4072000000.0,,702000000.0,,,,1670000000.0,-463000000.0,,702000000.0,,3426000000.0,,,506000000.0,51000000.0,,,1670000000.0,1218000000.0,,,41000000.0,3592000000.0,,,,-1325000000.0,-194000000.0,,,,294000000.0,,,12146000000.0,584000000.0,,,,,,4000000.0,,-225000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978220800,,1697000000.0,,205000000.0,-913000000.0,,7124000000.0,4204000000.0,,21994000000.0,-582000000.0,-697000000.0,2934000000.0,-81000000.0,,5539000000.0,5770000000.0,,1674000000.0,16546000000.0,179000000.0,-1168000000.0,6796000000.0,527000000.0,-227000000.0,11000000.0,1670000000.0,,-2147000000.0,,-3325000000.0,1134000000.0,9735000000.0,878000000.0,-639000000.0,1900000000.0,426000000.0,,-375000000.0,623000000.0,-9665000000.0,,,12329000000.0,11000000.0,7540000000.0,18000000.0,1697000000.0,,,14538000000.0,,-717000000.0,22231000000.0,-127000000.0,,3396000000.0,-72000000.0,11927000000.0,-9665000000.0,595000000.0,-1378000000.0,,25259000000.0,1150000000.0,-1617000000.0,9684000000.0,,-245000000.0,,-295000000.0,-900000000.0,2934000000.0,-486000000.0,,21994000000.0,,2.54,,7124000000.0,4501000000.0,,7900000000.0,-1026000000.0,21662000000.0,2934000000.0,,,21662000000.0,14538000000.0,2981000000.0,-786000000.0,2981000000.0,878000000.0,1173600000.0,4140000000.0,-791000000.0,0.0,3396000000.0,,4140000000.0,4834000000.0,2130000000.0,1134000000.0,9345000000.0,,7426000000.0,88000000.0,9735000000.0,-3028000000.0,,29771000000.0,-8127000000.0,2.5,724000000.0,-875000000.0,4357000000.0,9684000000.0,724000000.0,1173000000.0,,-5161000000.0,879000000.0,-2000000.0,879000000.0,724000000.0,1155118110.0,3396000000.0,,,,93000000.0,2742000000.0,7426000000.0,879000000.0,623000000.0,317000000.0,,47000000.0,879000000.0,1674000000.0,,4501000000.0,-4704000000.0,-192000000.0,0.0,,,309000000.0,,,11927000000.0,2209000000.0,,2209000000.0,12329000000.0,-1855000000.0,-227000000.0,-9000000.0,3396000000.0,-1195000000.0,-5465000000.0,879000000.0,-2099000000.0,879000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985996800,,730000000.0,,,,,,,,,-622000000.0,426000000.0,,,0.49,1048000000.0,5513000000.0,1134693878.0,1559000000.0,,-117000000.0,,6566000000.0,,-322000000.0,11000000.0,879000000.0,,,,,,9394000000.0,,-494000000.0,,371000000.0,,-716000000.0,,-9911000000.0,,,12464000000.0,,,18000000.0,,,,,,-735000000.0,,,,,38000000.0,,,,618000000.0,-72000000.0,,953000000.0,,9705000000.0,,,,1706000000.0,-515000000.0,,-365000000.0,1158333333.0,22375000000.0,,,,7272000000.0,4305000000.0,329000000.0,7510000000.0,-1053000000.0,,,,,22003000000.0,14731000000.0,,,3803000000.0,770000000.0,,,439000000.0,1307000000.0,1082000000.0,,3716000000.0,,1997000000.0,1398000000.0,,0.48,8304000000.0,,,,,,,,556000000.0,,4251000000.0,,582000000.0,,,,1318000000.0,-819000000.0,,556000000.0,,3419000000.0,,,,53000000.0,,,1318000000.0,249000000.0,,,44000000.0,2625000000.0,,,,-1312000000.0,-215000000.0,,,,318000000.0,,,12609000000.0,2267000000.0,,,,,,454000000.0,,1191000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993859200,,-925000000.0,,,,,,,,,-413000000.0,145000000.0,,,0.56,925000000.0,5648000000.0,1125000000.0,1829000000.0,,-249000000.0,,6525000000.0,,-303000000.0,11000000.0,1318000000.0,,,,,,9928000000.0,,-805000000.0,,403000000.0,,277000000.0,,-10168000000.0,,,13062000000.0,,,158000000.0,,,,,,-539000000.0,,,,,73000000.0,,,,375000000.0,-267000000.0,,1033000000.0,,10120000000.0,,,,1589000000.0,-726000000.0,,-67000000.0,1145454545.0,23230000000.0,,,,7759000000.0,5145000000.0,497000000.0,7566000000.0,-877000000.0,,,,,23792000000.0,16033000000.0,,,4138000000.0,798000000.0,,,744000000.0,1081000000.0,1116000000.0,,3932000000.0,,1918000000.0,1629000000.0,,0.55,8719000000.0,,,,,,,,630000000.0,,4269000000.0,,630000000.0,,,,2062000000.0,-808000000.0,,630000000.0,,3465000000.0,,,,39000000.0,,,2062000000.0,392000000.0,,,47000000.0,3143000000.0,,,,-696000000.0,-215000000.0,,,,338000000.0,,,13864000000.0,2971000000.0,,,,,,403000000.0,,863000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001808000,,-1194000000.0,,,,,,,,,-681000000.0,-464000000.0,,,0.5,693000000.0,5610000000.0,1136000000.0,1970000000.0,,117000000.0,,6538000000.0,,-288000000.0,11000000.0,2062000000.0,,,,,,9705000000.0,,-705000000.0,,364000000.0,,-415000000.0,,-10449000000.0,,,13401000000.0,,,32000000.0,,,,,,-567000000.0,,,,,67000000.0,,,,-303000000.0,-94000000.0,,932000000.0,,9982000000.0,,,,814000000.0,-690000000.0,,-798000000.0,1136000000.0,23850000000.0,,,,7684000000.0,6044000000.0,698000000.0,7481000000.0,-928000000.0,,,,,24619000000.0,16935000000.0,,,4233000000.0,901000000.0,,,-759000000.0,1191000000.0,1133000000.0,,4549000000.0,,1871000000.0,1793000000.0,,0.5,8870000000.0,,,,,,,,568000000.0,,4306000000.0,,568000000.0,,,,1303000000.0,-839000000.0,,568000000.0,,3504000000.0,,,,34000000.0,,,1303000000.0,682000000.0,,,45000000.0,2494000000.0,,,,-767000000.0,-214000000.0,,,,361000000.0,,,14914000000.0,3534000000.0,,,,,,0.0,,124000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009756800,,749000000.0,,184000000.0,-215000000.0,,7597000000.0,879000000.0,,24058000000.0,-303000000.0,-322000000.0,2399000000.0,638000000.0,,1024000000.0,5984000000.0,,1742000000.0,17397000000.0,-221000000.0,-1089000000.0,7055000000.0,159000000.0,-339000000.0,11000000.0,1303000000.0,,-2372000000.0,,-21000000.0,1169000000.0,10248000000.0,988000000.0,-407000000.0,1512000000.0,374000000.0,,-235000000.0,518000000.0,-10620000000.0,,,13438000000.0,11000000.0,7891000000.0,20000000.0,749000000.0,,,17039000000.0,,-692000000.0,22755000000.0,-69000000.0,,3981000000.0,460000000.0,14388000000.0,-10620000000.0,1528000000.0,-1799000000.0,-33000000.0,26684000000.0,1019000000.0,-1109000000.0,10162000000.0,,-466000000.0,,-209000000.0,-441000000.0,2425000000.0,-263000000.0,,24058000000.0,,2.13,,7597000000.0,4629000000.0,,8089000000.0,-1071000000.0,24636000000.0,2399000000.0,,,24636000000.0,17039000000.0,4648000000.0,-856000000.0,4648000000.0,988000000.0,1142380952.0,4078000000.0,-445000000.0,758000000.0,3981000000.0,,4078000000.0,3937000000.0,2105000000.0,1169000000.0,3690000000.0,,9759000000.0,228000000.0,10248000000.0,-3929000000.0,,30646000000.0,-3361000000.0,2.1,645000000.0,-2383000000.0,4571000000.0,10162000000.0,645000000.0,1396000000.0,,-1493000000.0,858000000.0,83000000.0,858000000.0,645000000.0,1126291080.0,3981000000.0,,,,33000000.0,3900000000.0,9759000000.0,858000000.0,518000000.0,-470000000.0,,48000000.0,1616000000.0,1742000000.0,,4629000000.0,-586000000.0,-212000000.0,758000000.0,,,379000000.0,,,14388000000.0,3601000000.0,,3601000000.0,13438000000.0,-2533000000.0,-339000000.0,0.0,3981000000.0,-650000000.0,-2019000000.0,858000000.0,-2411000000.0,1616000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017532800,,614000000.0,,,,,,,,,-363000000.0,151000000.0,,,0.5,357000000.0,5747000000.0,1126000000.0,1756000000.0,,-143000000.0,,6632000000.0,,-335000000.0,11000000.0,858000000.0,,,,,,10288000000.0,,-614000000.0,,353000000.0,,-312000000.0,,-10885000000.0,,,13654000000.0,,,27000000.0,,,,,,-534000000.0,,,,,-24000000.0,,,,615000000.0,0.0,,916000000.0,,10512000000.0,,,,1687000000.0,-624000000.0,,-725000000.0,1126000000.0,24539000000.0,,,,7438000000.0,4726000000.0,300000000.0,7579000000.0,-885000000.0,,,,,24729000000.0,17291000000.0,,,4717000000.0,920000000.0,,,284000000.0,885000000.0,1172000000.0,,3896000000.0,,1832000000.0,1474000000.0,,0.5,9715000000.0,,,,,,,,563000000.0,,4449000000.0,,563000000.0,,,,1142000000.0,-669000000.0,,563000000.0,,3826000000.0,,,,12000000.0,,,1142000000.0,276000000.0,,,43000000.0,2027000000.0,,,,-484000000.0,-213000000.0,,,,351000000.0,,,14441000000.0,3637000000.0,,,,,,-176000000.0,,1063000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025395200,,-908000000.0,,,,,,,,,-153000000.0,,,,0.55,684000000.0,5825000000.0,1110909091.0,1982000000.0,,226000000.0,,6654000000.0,,-261000000.0,11000000.0,1142000000.0,,,,,,10678000000.0,,-344000000.0,,381000000.0,,-251000000.0,,-11277000000.0,,,13699000000.0,,,46000000.0,,,,,,-467000000.0,,,,,93000000.0,,,,110000000.0,-14000000.0,,992000000.0,,10911000000.0,,,,1335000000.0,-330000000.0,,-563000000.0,1131481481.0,24976000000.0,,,,7938000000.0,4862000000.0,139000000.0,7682000000.0,-829000000.0,,,,,25442000000.0,17504000000.0,,,4729000000.0,946000000.0,,,262000000.0,1025000000.0,1214000000.0,,3722000000.0,,1857000000.0,1672000000.0,,0.54,9902000000.0,,,,,,,,611000000.0,,4435000000.0,,611000000.0,,,,1404000000.0,-564000000.0,,611000000.0,,3959000000.0,,,,12000000.0,,,1404000000.0,123000000.0,,,48000000.0,2429000000.0,,,,-845000000.0,-212000000.0,,,,362000000.0,,,14764000000.0,3805000000.0,,,,,,-244000000.0,,1005000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
